teamname,id_druzyny
IZIDREAM,1
TEAM VALIANT,2
ESPRIT SHŌNEN,3
SKILLCAMP,4
KARMINE CORP BLUE STARS,5
PROJECT CONQUERORS,6
ZERANCE,7
LILLE ESPORT,8
WEIBO GAMING,9
OH MY GOD,10
NONGSHIM ESPORTS ACADEMY,11
DN FREECS CHALLENGERS,12
OKSAVINGSBANK BRION CHALLENGERS,13
T1 ESPORTS ACADEMY,14
LNG ESPORTS,15
THUNDERTALK GAMING,16
BNK FEARX YOUTH,17
HANWHA LIFE ESPORTS CHALLENGERS,18
DPLUS KIA CHALLENGERS,19
KT ROLSTER CHALLENGERS,20
ROYAL NEVER GIVE UP,21
FUNPLUS PHOENIX,22
DRX CHALLENGERS,23
GEN.G GLOBAL ACADEMY,24
RAMBOOT CLUB,25
ZETA,26
LUA GAMING,27
GUASONES,28
GIANTX PRIDE,29
VENI VIDI VICI,30
MOVISTAR KOI FÉNIX,31
UCAM ESPORTS,32
LOS HERETICS,33
BARÇA ESPORTS,34
OKSAVINGSBANK BRION,35
DRX,36
ULTRA PRIME,37
DN FREECS,38
NONGSHIM REDFORCE,39
LOS RATONES,40
NORD ESPORTS,41
BULLDOG ESPORTS,42
VERDANT,43
LUNDQVIST LIGHTSIDE,44
BNK FEARX,45
KT ROLSTER,46
LGD GAMING,47
ANYONE'S LEGEND,48
DPLUS KIA,49
T1,50
THE RUDDY SACK,51
RICH GANG,52
DMG ESPORTS,53
VENOMCREST ESPORTS,54
KAOS E-SPORT,55
GEN.G,56
HANWHA LIFE ESPORTS,57
EDWARD GAMING,58
BILIBILI GAMING,59
CTBC FLYING OYSTER,60
MGN VIKINGS ESPORTS,61
FUKUOKA SOFTBANK HAWKS GAMING,62
GAM ESPORTS,63
TOP ESPORTS,64
TEAM WE,65
TEAM SECRET WHALES,66
DETONATION FOCUSME,67
TALON,68
CHIEFS ESPORTS CLUB,69
TEAM HERETICS,70
ROGUE,71
TEAM VITALITY,72
TEAM BDS,73
GIANTX,74
SK GAMING,75
MOVISTAR KOI,76
FNATIC,77
KARMINE CORP,78
G2 ESPORTS,79
INVICTUS GAMING,80
NINJAS IN PYJAMAS,81
JD GAMING,82
GAMESPACE MEDITERRANEAN COLLEGE ESPORTS,83
TEAM REFUSE,84
ZEROLAG ESPORTS,85
WLGAMING ESPORTS,86
TEAM INSIDIOUS,87
ACTIONS PER MINUTE,88
TEAM PARADOX,89
TEAM PHANTASMA,90
BERLIN INTERNATIONAL GAMING,91
UNICORNS OF LOVE SEXY EDITION,92
EINTRACHT FRANKFURT,93
DUNG DYNASTY,94
BK ROG ESPORTS,95
TEAM BDS ACADEMY,96
TEAMORANGEGAMING,97
E WIE EINFACH E-SPORTS,98
ZENA ESPORTS,99
UNDERWORLD ESPORTS,100
GALIONS,101
ICI JAPON CORP. ESPORT,102
AXOLOTL,103
MACKO ESPORTS,104
GMBLERS ESPORTS,105
EKO ESPORTS,106
GENTLE MATES,107
GAMEWARD,108
KARMINE CORP BLUE,109
JOBLIFE,110
AUSTRIAN FORCE WILLHABEN,111
EINTRACHT SPANDAU,112
PAPARA SUPERMASSIVE,113
BBL DARK PASSAGE,114
ULF ESPORTS,115
BEŞIKTAŞ ESPORTS,116
DIVERSION GAMING,117
MIGHTY EAGLES,118
BUSHIDO WILDCATS,119
BOOSTGATE ESPORTS,120
SOLARY,121
ETERNAL FIRE,122
MISA ESPORTS,123
KIA.ESUBA ACADEMY,124
MEAVEDRON,125
VITALITY.BEE,126
ETHEREAL ENIGMAS,127
DIVERNEX,128
CITA KAIZEN,129
TEAM MELIORA,130
REJECT,131
WE CAN WIN,132
BLACK DOG,133
VELBELIKAIZOKUDAN,134
SPIRIT QUARTZ GAMING,135
NIGHT CAP,136
KAREHA CHILDREN,137
HANDS,138
YANG YANG GAMING,139
VARREL YOUTH,140
CLOCKS,141
BRAVELY,142
VELOCITY (JAPANESE TEAM),143
LOUD,144
PAIN GAMING,145
VIVO KEYD STARS,146
LEVIATAN,147
SHOPIFY REBELLION,148
FLYQUEST,149
LYON,150
CLOUD9,151
ISURUS ESTRAL,152
FURIA,153
RED CANIDS,154
FLUXO W7M,155
DISGUISED,156
100 THIEVES,157
DIGNITAS,158
TEAM LIQUID,159
KIEDYŚ MIAŁEM FUN,160
ZERO TENACITY,161
KAUFLAND HANGRY KNIGHTS,162
FORSAKEN,163
BACK2THEGAME,164
MY STAR,165
DEVILS.ONE,166
ROSSMANN CENTAURS,167
LODIS,168
ORBIT ANONYMO ESPORTS,169
BURNING CORE TOYAMA,170
DETONATION FOCUSME ACADEMY,171
V3 ESPORTS,172
FALKE ESPORTS,173
GUINEA PINK,174
GREEN DOLPHIN GAMING,175
CORE 128,176
MONTA CLUB,177
EQUIZERS,178
FRACTIOUS ESPORTS,179
OXYGEN GAMING,180
PRINCIPALITY,181
DREAM MAKERS,182
UNIVERSAE INSTITUTO FP,183
KAWAII KIWIS,184
GERAÇÃO ESTRUTURA,185
DARK ROSES,186
GWENCHANA,187
RATZ,188
XV ESPORTS,189
DOPAMINA E-SPORT,190
CORINTHIANS ESPORTS,191
LIGRE GAMING,192
ANKORA GAMING,193
BEFIVE,194
CRVENA ZVEZDA ESPORTS,195
LUPUS ESPORTS,196
PARTIZAN ESPORTS,197
SPIKE SYNDICATE,198
TEAM UNITY,199
DYNAMO ECLOT TALENTS,200
NIGHTBIRDS,201
INSIDE GAMES,202
GLORE,203
DELTA SYNDICATE,204
ESUBA,205
BRUTE,206
TAN'I ESPORTS CZ,207
ENTROPIQ,208
DYNAMO ECLOT,209
EXILE ESPORTS,210
FRANK ESPORTS,211
CTBC FLYING OYSTER ACADEMY,212
GROUND ZERO GAMING,213
HELL PIGS,214
DEEP CROSS GAMING,215
TALON ACADEMY,216
WEST POINT ESPORTS,217
HUNGKUANG FALCON (弘光獵鷹),218
ONCE UPON A TEAM,219
A ONE MAN ARMY,220
ZENNIT,221
SENSHI ESPORTS,222
BWE ESPORTS,223
LEÕES PORTO SALVO ESPORTS,224
STR1VE ESPORTS,225
KEYPULSE ESPORTS,226
HURRICANE OF FEATHERS,227
NORTHS FURY,228
WHITE DRAGONS,229
CRUSADERS,230
AURORA,231
MYTH ESPORTS,232
