champion,patch,id_postaci
Gnar,15.01,1
Maokai,15.01,2
Hwei,15.01,3
Jinx,15.01,4
Leona,15.01,5
Renekton,15.01,6
Ivern,15.01,7
Orianna,15.01,8
Varus,15.01,9
Braum,15.01,10
,15.01,11
K'Sante,15.01,12
Azir,15.01,13
Rell,15.01,14
Sejuani,15.01,15
Corki,15.01,16
Nautilus,15.01,17
Aatrox,15.01,18
Skarner,15.01,19
Aurora,15.01,20
Alistar,15.01,21
Gwen,15.01,22
Kayn,15.01,23
Taliyah,15.01,24
Jayce,15.01,25
Viktor,15.01,26
Ezreal,15.01,27
Wukong,15.01,28
Ahri,15.01,29
Rakan,15.01,30
Viego,15.01,31
Ashe,15.01,32
Nocturne,15.01,33
Neeko,15.01,34
Rumble,15.01,35
Ambessa,15.01,36
Jhin,15.01,37
Miss Fortune,15.01,38
Ornn,15.01,39
Leblanc,15.01,40
Zyra,15.01,41
Yone,15.01,42
Ziggs,15.01,43
Jax,15.01,44
Sylas,15.01,45
Poppy,15.01,46
Xin Zhao,15.01,47
Milio,15.01,48
Garen,15.01,49
Vi,15.01,50
Zeri,15.01,51
Karthus,15.01,52
Sivir,15.01,53
Caitlyn,15.01,54
Akali,15.01,55
Tristana,15.01,56
Camille,15.01,57
Kai'Sa,15.01,58
Pantheon,15.01,59
Vladimir,15.01,60
Kalista,15.01,61
Lee Sin,15.01,62
Smolder,15.01,63
Volibear,15.01,64
Gragas,15.01,65
Karma,15.01,66
Taric,15.01,67
Twitch,15.01,68
Lulu,15.01,69
Blitzcrank,15.01,70
Renata Glasc,15.01,71
Aphelios,15.01,72
Thresh,15.01,73
Galio,15.01,74
Udyr,15.01,75
Nidalee,15.01,76
Syndra,15.01,77
Xayah,15.01,78
Brand,15.01,79
Yasuo,15.01,80
Kindred,15.01,81
Bard,15.01,82
Sion,15.01,83
Cho'Gath,15.01,84
Jarvan Iv,15.01,85
Xerath,15.01,86
Seraphine,15.01,87
Ryze,15.01,88
Cassiopeia,15.01,89
Pyke,15.01,90
Lux,15.01,91
Fiora,15.01,92
Draven,15.01,93
Amumu,15.01,94
Elise,15.01,95
Gangplank,15.01,96
Swain,15.01,97
Lillia,15.01,98
Sett,15.01,99
Zilean,15.01,100
Rengar,15.01,101
Malphite,15.01,102
Annie,15.01,103
Kog'Maw,15.01,104
Diana,15.01,105
Senna,15.01,106
Tahm Kench,15.01,107
Olaf,15.01,108
Tryndamere,15.01,109
Irelia,15.01,110
Kha'Zix,15.01,111
Zoe,15.01,112
Shen,15.01,113
Bel'Veth,15.01,114
Darius,15.01,115
Veigar,15.01,116
Urgot,15.01,117
Lucian,15.01,118
Nami,15.01,119
Kennen,15.01,120
Mordekaiser,15.01,121
Naafiri,15.01,122
Soraka,15.01,123
Zac,15.01,124
Ornn,15.02,125
Vi,15.02,126
Aurora,15.02,127
Ezreal,15.02,128
Alistar,15.02,129
Rumble,15.02,130
Xin Zhao,15.02,131
Galio,15.02,132
Corki,15.02,133
Rell,15.02,134
,15.02,135
Yuumi,15.01,136
K'Sante,15.02,137
Viego,15.02,138
Hwei,15.02,139
Ashe,15.02,140
Renata Glasc,15.02,141
Ambessa,15.02,142
Wukong,15.02,143
Akali,15.02,144
Jhin,15.02,145
Neeko,15.02,146
Gnar,15.02,147
Pantheon,15.02,148
Orianna,15.02,149
Ziggs,15.02,150
Leona,15.02,151
Renekton,15.02,152
Sejuani,15.02,153
Viktor,15.02,154
Miss Fortune,15.02,155
Maokai,15.02,156
Urgot,15.02,157
Lee Sin,15.02,158
Azir,15.02,159
Tristana,15.02,160
Lulu,15.02,161
Jax,15.02,162
Volibear,15.02,163
Sylas,15.02,164
Jinx,15.02,165
Seraphine,15.02,166
Zac,15.02,167
Caitlyn,15.02,168
Nautilus,15.02,169
Darius,15.02,170
Jayce,15.02,171
Zyra,15.02,172
Dr. Mundo,15.02,173
Karthus,15.02,174
Aatrox,15.02,175
Hecarim,15.02,176
Ahri,15.02,177
Varus,15.02,178
Lissandra,15.02,179
Braum,15.02,180
Graves,15.01,181
Elise,15.02,182
Rakan,15.02,183
Olaf,15.02,184
Vladimir,15.02,185
Camille,15.02,186
Yone,15.02,187
Cho'Gath,15.02,188
Syndra,15.02,189
Kai'Sa,15.02,190
Poppy,15.02,191
Nocturne,15.02,192
Xayah,15.02,193
Bard,15.02,194
Sion,15.02,195
Kalista,15.02,196
Bel'Veth,15.02,197
Qiyana,15.02,198
Gwen,15.02,199
Taliyah,15.02,200
Lillia,15.02,201
Brand,15.02,202
Skarner,15.02,203
Pyke,15.02,204
Udyr,15.02,205
Jarvan Iv,15.02,206
Kindred,15.02,207
Gragas,15.02,208
Swain,15.02,209
Zeri,15.02,210
Smolder,15.02,211
Morgana,15.01,212
Draven,15.02,213
Ivern,15.02,214
Cassiopeia,15.02,215
Aphelios,15.02,216
Mordekaiser,15.02,217
Blitzcrank,15.02,218
Lux,15.02,219
Karma,15.02,220
Yorick,15.02,221
Vel'Koz,15.02,222
Nidalee,15.02,223
Senna,15.02,224
Nilah,15.02,225
Katarina,15.02,226
Ryze,15.02,227
Shyvana,15.02,228
Amumu,15.02,229
Aurelion Sol,15.02,230
Tahm Kench,15.02,231
Zilean,15.02,232
Malphite,15.02,233
Tryndamere,15.02,234
Sivir,15.02,235
Yuumi,15.02,236
Janna,15.02,237
Rek'Sai,15.02,238
Kayn,15.02,239
Shen,15.02,240
Kog'Maw,15.02,241
Xerath,15.02,242
Kennen,15.02,243
Fiora,15.02,244
Yasuo,15.02,245
Irelia,15.02,246
Anivia,15.02,247
Milio,15.02,248
Twisted Fate,15.02,249
Vayne,15.02,250
Veigar,15.02,251
Thresh,15.02,252
Leblanc,15.02,253
Nunu & Willump,15.02,254
Annie,15.02,255
Trundle,15.02,256
Diana,15.02,257
Taric,15.02,258
Nasus,15.02,259
