playername,position,id_zawodnik
patkicaa,top,1
joinze,jng,2
sayn,mid,3
shiganari,bot,4
lekcyc,sup,5
nille,top,6
spooky,jng,7
nafkelah,mid,8
soldier,bot,9
steeelback,sup,10
potent,top,11
croniik,jng,12
xkenzuke,mid,13
harpoon,bot,14
leon,sup,15
mat,top,16
roshan,jng,17
artoria,mid,18
xicor,bot,19
highway,sup,20
tao,top,21
baashh,jng,22
mathisv,mid,23
hazel,bot,24
nsurr,sup,25
gakgos,top,26
frost,jng,27
kuroneel,mid,28
avarice,bot,29
abagnale,sup,30
ihy0,top,31
krimson,jng,32
alix,mid,33
nrmn,bot,34
seal,sup,35
sleyer,top,36
kkt,jng,37
improver,mid,38
13,bot,39
enjawve,sup,40
breathe,top,41
tian,jng,42
xiaohu,mid,43
light,bot,44
hang,sup,45
hery,top,46
heng,jng,47
linfeng,mid,48
starry,bot,49
moham,sup,50
kangin,top,51
sylvie,jng,52
calix,mid,53
lucy,bot,54
vital,sup,55
lancer,top,56
ddoiv,jng,57
pungyeon,mid,58
slayer,bot,59
quantum,sup,60
lonely,top,61
ellim,jng,62
starlit,mid,63
levy,bot,64
kice,sup,65
haetae,top,66
vincenzo,jng,67
poby,mid,68
smash,bot,69
cloud,sup,70
zika,top,71
weiwei,jng,72
haichao,mid,73
photic,bot,74
zhuo,sup,75
hoya,top,76
beichuan,jng,77
setab,mid,78
1xn,bot,79
feather,sup,80
soboro,top,81
bonnie,jng,82
daystar,mid,83
envyy,bot,84
career,sup,85
rooster,top,86
grizzly,jng,87
tempester,mid,88
pyeonsik,bot,89
bluffing,sup,90
jaehyuk,top,91
sharvel,jng,92
garden,mid,93
wayne,bot,94
thumb,sup,95
casting,top,96
youngjae,jng,97
zinie,mid,98
paduck,bot,99
peter,sup,100
xiaoxu,top,101
milkyway,jng,102
tangyuan,mid,103
jiaqi,bot,104
lele,sup,105
sheer,top,106
sorrow,jng,107
care,mid,108
bat,bot,109
jwei,sup,110
frog,top,111
juhan,jng,112
kyeahoo,mid,113
lazyfeel,bot,114
pleata,sup,115
hanbyeol,top,116
winner,jng,117
kemish,mid,118
about,bot,119
namgung,sup,120
ibo,top,121
bluerzor,jng,122
twohoyrz,mid,123
coldraa,bot,124
pyrka,sup,125
ethe,top,126
elojoninja,jng,127
ptt,mid,128
adryh,bot,129
escox,sup,130
marky,top,131
sn1lle,jng,132
hydra,mid,133
shy carry,bot,134
click,sup,135
selenex,top,136
infinity,jng,137
macaquino,mid,138
ecstassy,bot,139
smarty,sup,140
badlulu,top,141
ferret,jng,142
feisty,mid,143
aetinoth,bot,144
lospa,sup,145
cpm,top,146
time,jng,147
miniduke,mid,148
rayito,bot,149
thomas,sup,150
spooder,top,151
eckas,jng,152
fresskowy,mid,153
unf0rgiven,bot,154
kamilius,sup,155
sinmivak,top,156
koldo,jng,157
escik,mid,158
andariel,bot,159
ilevi,sup,160
tracyn,top,161
daglas,jng,162
sajator,mid,163
rin,bot,164
kaiser,sup,165
whiteknight,top,166
thayger,jng,167
czekolad,mid,168
legolas,bot,169
whiteinn,sup,170
morgan,top,171
hambak,jng,172
clozer,mid,173
hype,bot,174
pollu,sup,175
rich,top,176
sponge,jng,177
ucal,mid,178
andil,sup,179
1jiang,top,180
junhao,jng,181
saber,mid,182
wako,bot,183
rosielove,sup,184
dudu,top,185
pyosik,jng,186
bulldog,mid,187
berserker,bot,188
life,sup,189
kingen,top,190
gideon,jng,191
fisher,mid,192
jiwoo,bot,193
lehends,sup,194
baus,top,195
velja,jng,196
nemesis,mid,197
crownie,bot,198
rekkles,sup,199
vizicsacsi,top,200
santorin,jng,201
noway,mid,202
xmatty,bot,203
treatz,sup,204
mietek,top,205
lulas,jng,206
kaymin,mid,207
exofeng,bot,208
kasing,sup,209
maxi,mid,210
noname,jng,211
ronaldo,top,212
mishi,bot,213
obstinatus,sup,214
wntr,top,215
hybradge,jng,216
harbo,mid,217
rustysniper,bot,218
leolecargo,sup,219
papiteero,top,220
ronaldo,mid,221
clear,top,222
raptor,jng,223
vicla,mid,224
diable,bot,225
kellin,sup,226
perfect,top,227
cuzz,jng,228
bdd,mid,229
deokdam,bot,230
way,sup,231
sasi,top,232
climber,jng,233
xqw,mid,234
shaoye,bot,235
ycx,sup,236
flandre,top,237
tarzan,jng,238
shanks,mid,239
hope,bot,240
kael,sup,241
siwoo,top,242
lucid,jng,243
showmaker,mid,244
aiming,bot,245
beryl,sup,246
doran,top,247
oner,jng,248
faker,mid,249
gumayusi,bot,250
keria,sup,251
perkz,mid,252
jankos,jng,253
yamatocannon,top,254
humzh,bot,255
hustlin,sup,256
banderas,top,257
nyx,jng,258
hawhaw,mid,259
ragnarr,bot,260
eski,sup,261
buchi,top,262
bitse,jng,263
bissejr15,mid,264
faetski,bot,265
calmsky,sup,266
elijah,top,267
kiki,jng,268
lofti,mid,269
mauki,bot,270
lorenz,sup,271
perkz,top,272
lider,mid,273
turtle,top,274
taxvig,jng,275
jayjay,mid,276
ardaffler,bot,277
rutzou,sup,278
nomi,bot,279
zuhy,mid,280
kiin,top,281
canyon,jng,282
chovy,mid,283
ruler,bot,284
duro,sup,285
zeus,top,286
peanut,jng,287
zeka,mid,288
viper,bot,289
delight,sup,290
zdz,top,291
xiaohao,jng,292
angel,mid,293
assum,bot,294
wink,sup,295
bin,top,296
wei,jng,297
knight,mid,298
elk,bot,299
on,sup,300
bull,bot,301
rest,top,302
junjia,jng,303
hongq,mid,304
doggo,bot,305
kaiwing,sup,306
kratos,top,307
gury,jng,308
kati,mid,309
shogun,bot,310
siuloong,sup,311
driver,top,312
evi,top,313
courage,jng,314
fate,mid,315
marble,bot,316
gaeng,sup,317
kiaya,top,318
levi,jng,319
aress,mid,320
artemis,bot,321
elio,sup,322
369,top,323
kanavi,jng,324
creme,mid,325
jackeylove,bot,326
crisp,sup,327
cube,top,328
tianzhen,jng,329
karis,mid,330
taeyoon,bot,331
vampire,sup,332
hiro02,top,333
hizto,jng,334
dire,mid,335
eddie,bot,336
taki,sup,337
rayfarky,top,338
guwon,jng,339
aria,mid,340
kakkun,bot,341
harp,sup,342
janis,jng,343
azhi,top,344
karsa,jng,345
fofo,mid,346
betty,bot,347
woody,sup,348
biopanther,top,349
mir,jng,350
jimien,mid,351
leemas,bot,352
luon,sup,353
carlsen,top,354
sheo,jng,355
kamiloo,mid,356
flakked,bot,357
stend,sup,358
adam,top,359
malrang,jng,360
larssen,mid,361
patrik,bot,362
execute,sup,363
naak nako,top,364
lyncas,jng,365
czajek,mid,366
carzzy,bot,367
hylissang,sup,368
irrelevant,top,369
113,jng,370
nuc,mid,371
ice,bot,372
parus,sup,373
lot,top,374
closer,jng,375
jackies,mid,376
noah,bot,377
jun,sup,378
jnx,top,379
isma,jng,380
rkr,mid,381
rahel,bot,382
loopy,sup,383
myrwn,top,384
elyoya,jng,385
jojopyun,mid,386
supa,bot,387
alvaro,sup,388
oscarinin,top,389
razork,jng,390
humanoid,mid,391
upset,bot,392
mikyx,sup,393
canna,top,394
yike,jng,395
vladi,mid,396
caliste,bot,397
